60
============================================================================

                  KPP Standalone Atmospheric Chemical State
File Description:
This file contains model output of the atmospheric chemical state
as simulated by the GEOS-Chem chemistry module in a 3D setting.
Each grid cell represents the chemical state of an individual location,
suitable for input into a separate KPP Standalone program which will
replicate the chemical evolution of that grid cell for mechanism analysis.
Note that the KPP Standalone will only use concentrations, rate constants,
and KPP-specific fields. All other fields are for reference. The first line
contains the number of lines in this header. If wanting to use this output
for other analysis, a Python class to read these fields is available by
request, contact Obin Sturm (psturm@usc.edu).

Generated by the GEOS-Chem Model
       (https://geos-chem.org/)
Using the KPP Standalone Interface
github.com/GEOS-ESM/geos-chem/tree/feature/psturm/kpp_standalone_interface
     With contributions from:
        Obin Sturm (psturm@usc.edu)
        Christoph Keller
        Michael Long
        Sam Silva

Meteorological and general grid cell metadata    

Location:                                        Beijing
Timestamp:                                       2019/07/01 00:40
Longitude (degrees):                                115.0000
Latitude (degrees):                                  38.0000
GEOS-Chem Vertical Level:                             1
Pressure (hPa):                                     947.7906
Temperature (K):                                      300.29
Dry air density (molec/cm3):                      0.2273E+20
Water vapor mixing ratio (vol H2O/vol dry air):   0.9784E-02
Cloud fraction:                                   0.0000E+00
Cosine of solar zenith angle:                     0.6833E+00

KPP Integrator-specific parameters               

Init KPP Timestep (seconds):                        520.2922
Exit KPP Timestep (seconds):                        122.4454
Chemistry operator timestep (seconds):             1200.0000
Number of internal timesteps:                        13
ICNTRL integrator options used:
     1     0     4     0     0     0     1     0     0     0
     0     0     0   345    -1     0     0     0     0     0
RCNTRL integrator options used:
     0.000000     0.000000   520.292161     0.000000     0.000000
     0.000000     0.000000     0.000000     0.000000     0.000000
     0.000000     0.000000     0.000000     0.000050     0.000000
     0.000000     0.000000     0.000000     0.000000     0.000000

CSV data of full chemical state, including species concentrations,
rate constants (R) and instantaneous reaction rates (A).
All concentration units are in molec/cm3 and rates in molec/cm3/s.

============================================================================
Name,   Value,   Absolute Tolerance
R167,  4.8827859100362834E-012
R168,  9.2258439461214091E-013
R169,  1.7090094850016615E-011
R170,  1.0082766665499554E-011
R171,  1.0082766665499554E-011
R172,  1.7090094850016615E-011
R173,  1.7090094850016615E-011
R174,  1.7090094850016615E-011
R175,  1.1931922714191557E-012
R176,  1.7090094850016615E-011
R177,  1.2721757823887462E-011
R178,  2.9999999999999998E-014
R179,  1.4000000000000001E-018
R180,  1.5329320019925012E-011
R181,  1.0571944841327595E-011
R182,  9.8847684266413004E-012
R183,  9.8847684266413004E-012
R184,  9.8847684266413004E-012
R185,  9.8847684266413004E-012
R186,  9.8847684266413004E-012
R187,  9.8847684266413004E-012
R188,  9.8847684266413004E-012
R189,  9.8847684266413004E-012
R190,  9.8847684266413004E-012
R191,  9.8847684266413004E-012
R192,  9.8847684266413004E-012
R193,  9.8847684266413004E-012
R194,  1.3214931051659493E-011
R195,  9.8847684266413004E-012
R196,  2.4328030441157408E-016
R197,  3.6219840139645453E-012
R198,  2.1561231762491184E+000
R199,  4.7231452986261021E-012
R200,  1.6502453890299074E-012
R201,  1.1098543470505331E-012
R202,  9.2363595237648341E-013
R203,  1.1913658573428539E-012
R204,  2.0820320722674678E-011
R205,  1.7096365886922466E-012
R206,  1.0705640281901071E-011
R207,  2.7419607461183784E-012
R208,  4.9083197527171335E-013
R209,  2.0917395907257838E-011
R210,  4.8999999999999999E-011
R211,  4.6700254069376131E-011
R212,  2.8661164922761934E-011
R213,  3.9269314027021695E-014
R214,  3.9085112633480245E-011
R215,  1.6000000000000000E-011
R216,  1.1842655413146773E-012
R217,  3.8904299832319948E-012
R218,  1.2484167518412575E-020
R219,  1.2618409763679312E-019
R220,  4.7944414674878320E-017
R221,  4.6079820688072056E-012
R222,  2.6361859517780631E-012
R223,  2.7138921608965596E-013
R224,  1.2194954256639382E-013
R225,  3.0839057075314694E-014
R226,  1.9905018774584532E-010
R227,  3.1011725870616518E-011
R228,  3.9633066693016424E-011
R229,  1.2000000000000000E-010
R230,  1.2719556158035804E-010
R231,  1.7499999999999999E-010
R232,  1.3608004301124049E-014
R233,  8.3910329848544872E-015
R234,  6.9808517790081008E-015
R235,  3.2779133312396177E-011
R236,  5.8394401537642200E-011
R237,  2.4000000000000000E-010
R238,  1.3818782013017883E-014
R239,  2.0410104374730785E-015
R240,  8.6081290948922202E-012
R241,  1.3000000000000000E-011
R242,  1.5406718293853644E-012
R243,  3.8076816894520428E-012
R244,  1.7931989013984751E-015
R245,  1.0629070110449423E-012
R246,  2.9267837585691221E-011
R247,  8.0500000000000006E-011
R248,  9.1796709649468543E-017
R249,  2.9298424916765410E-011
R250,  1.2067100963873970E-011
R251,  4.0868721484190645E-011
R252,  1.6499822027592304E-013
R253,  1.5000000000000000E-010
R254,  1.5000000000000000E-010
R255,  2.7000000000000000E-010
R256,  3.3000000000000000E-010
R257,  2.5999999999999998E-010
R258,  1.8000000000000000E-010
R259,  2.7000000000000000E-010
R260,  6.6000000000000000E-010
R261,  1.0200000000000000E-010
R262,  2.3000000000000001E-010
R263,  1.4000000000000001E-010
R264,  1.5000000000000000E-010
R265,  1.0000000000000000E-010
R266,  2.5999999999999998E-010
R267,  2.0000000000000001E-010
R268,  2.0000000000000001E-010
R269,  2.3200000000000000E-010
R270,  1.4128615196482367E-010
R271,  5.9673464597737689E-011
R272,  1.5999999999999999E-010
R273,  6.6695814964016506E-014
R274,  2.4407462663549104E-012
R275,  1.8185245228012005E-011
R276,  1.2905912047639150E-012
R277,  1.0324711071927398E-011
R278,  5.5864846122193156E-012
R279,  7.8290678824315545E-013
R280,  5.6753985099741951E-013
R281,  3.7359324019123288E-014
R282,  3.9986999453170056E-013
R283,  3.6037638827104484E-014
R284,  1.0247110447176362E-013
R285,  1.0277154320909598E-013
R286,  1.0388292601394408E-014
R287,  5.1007984279644192E-015
R288,  6.0661110395559937E-015
R289,  3.5816342258313614E-015
R290,  3.6949359332280884E-014
R291,  1.0340013857262750E-013
R292,  7.3298911492493184E-011
R293,  1.1816201242429246E-011
R294,  1.5896914031562950E-014
R295,  4.2079240750257202E-013
R296,  3.4404517998941631E-011
R297,  1.0326635098939696E-011
R298,  3.7161160079547583E-011
R299,  6.8294508812845033E-012
R300,  1.6810956015469548E-011
R301,  2.1760969293312306E-012
R302,  5.0172164856738100E-015
R303,  8.5863636851143804E-015
R304,  3.6534724588937205E-015
R305,  4.8018215274547324E-014
R306,  1.7512377675659612E+007
R307,  2.9342774034130351E-013
R308,  6.1152328290156277E+001
R309,  2.4199999999999999E-010
R310,  5.9314515523316867E-012
R311,  5.4670466575787527E-012
R312,  1.0769518697410179E-012
R313,  2.1950917661950886E-013
R314,  1.0189598637319488E-011
R315,  5.0368471952484965E-013
R316,  3.5739166079849736E-013
R317,  1.2210308927117640E-013
R318,  2.0000000000000001E-013
R319,  1.5999999999999999E-010
R320,  5.6999999999999997E-011
R321,  5.7028902184449588E-011
R322,  7.4000000000000003E-011
R323,  7.4000000000000003E-011
R324,  5.4999999999999997E-011
R325,  9.6000000000000005E-011
R326,  2.8000000000000001E-014
R327,  7.9864308457535493E-011
R328,  6.0171875537907036E-011
R329,  2.1378401792475666E-012
R330,  4.0173390397044856E-010
R331,  2.0499999999999999E-010
R332,  2.3251369917512854E-010
R333,  3.6000000000000000E-012
R334,  3.4666986082125689E-013
R335,  1.3649126138675370E-014
R336,  4.7667152562604920E-012
R337,  7.0195645955855497E+000
R338,  5.0367286579040293E-015
R339,  1.5000000000000001E-012
R340,  3.3281103096683300E-012
R341,  3.5643859504103101E-005
R342,  5.5961445459200374E-011
R343,  1.2000000000000001E-011
R344,  6.9105486173669206E-011
R345,  1.0000000000000000E-010
R346,  1.5000000000000000E-010
R347,  3.7999999999999999E-002
R348,  6.6874426256053762E-012
R349,  1.2246076786336608E-011
R350,  1.2607897617492235E-012
R351,  3.9781301957657227E-013
R352,  1.8000000000000000E-010
R353,  3.0000000000000000E-011
R354,  4.9999999999999997E-012
R355,  8.6757240560917276E-011
R356,  1.8498473934949449E-011
R357,  7.9289586309956956E-011
R358,  1.8612868730282710E+000
R359,  7.4391485921403033E-014
R360,  2.3999999999999999E-012
R361,  6.6999999999999997E-013
R362,  1.2000000000000000E-015
R363,  1.0000000000000000E-014
R364,  4.2499999999999999E-012
R365,  2.8000000000000001E-016
R366,  2.9588703762441285E-033
R367,  1.4000000000000001E-012
R368,  3.7999999999999998E-011
R369,  1.2000000000000000E-015
R370,  1.0000000000000000E-014
R371,  4.2499999999999999E-012
R372,  2.6499999999999999E-011
R373,  5.9999999999999997E-018
R374,  1.0000000000000001E-017
R375,  4.2589976107319913E-012
R376,  4.2589976107319913E-012
R377,  1.2200000000000001E-011
R378,  1.5965975352567134E-010
R379,  2.1747454641637841E-016
R380,  5.2376355548013366E-011
R381,  4.7787452082927108E-016
R382,  5.2488868467316279E-011
R383,  9.7560036616566907E-017
R384,  2.0183959131079928E-011
R385,  8.9539298392653386E-012
R386,  2.2999999999999999E-012
R387,  1.8300000000000001E-011
R388,  5.5000000000000004E-012
R389,  2.0000000000000000E-014
R390,  3.8348926838587474E-011
R391,  2.0183959131079928E-011
R392,  8.9539298392653386E-012
R393,  8.5618546461333476E-012
R394,  5.2070038782640394E-004
R395,  2.2999999999999999E-012
R396,  9.7299999999999999E-012
R397,  6.6500000000000001E-012
R398,  2.0183959131079928E-011
R399,  8.9539298392653386E-012
R400,  2.2999999999999999E-012
R401,  1.9822396577489242E-012
R402,  2.6000000000000001E-011
R403,  2.8799999999999998E-012
R404,  2.0183959131079928E-011
R405,  8.9539298392653386E-012
R406,  2.2999999999999999E-012
R407,  4.6999999999999998E-012
R408,  1.3300000000000000E-011
R409,  1.5500000000000001E-011
R410,  2.0183959131079928E-011
R411,  1.4326287742824544E-012
R412,  7.5279336056045637E-012
R413,  1.9822396577489242E-012
R414,  2.2999999999999999E-012
R415,  8.5899999999999995E-011
R416,  3.2399999999999999E-012
R417,  2.0183959131079928E-011
R418,  8.9539298392653386E-012
R419,  2.2999999999999999E-012
R420,  1.0999999999999999E-010
R421,  8.3000000000000005E-018
R422,  2.6000000000000000E-013
R423,  9.9700000000000002E-011
R424,  1.5000000000000000E-016
R425,  9.3999999999999995E-012
R426,  1.0999999999999999E-010
R427,  8.3000000000000005E-018
R428,  2.6000000000000000E-013
R429,  8.9539298392653386E-012
R430,  2.0183959131079928E-011
R431,  2.2999999999999999E-012
R432,  1.9822396577489242E-012
R433,  3.5999999999999998E-011
R434,  2.4742451609442145E-014
R435,  6.3000000000000002E-012
R436,  2.0183959131079928E-011
R437,  8.9539298392653386E-012
R438,  8.5618546461333476E-012
R439,  5.2070038782640394E-004
R440,  2.2999999999999999E-012
R441,  9.7299999999999999E-012
R442,  6.6500000000000001E-012
R443,  2.0183959131079928E-011
R444,  2.2384824598163347E-012
R445,  6.7320287310031999E-012
R446,  2.2999999999999999E-012
R447,  2.6188177774006683E-011
R448,  2.3893726041463554E-016
R449,  5.4196128059734817E-012
R450,  2.6188177774006683E-011
R451,  2.3893726041463554E-016
R452,  5.4196128059734817E-012
R453,  2.6188177774006683E-011
R454,  2.3893726041463554E-016
R455,  5.4196128059734817E-012
R456,  1.9822396577489242E-012
R457,  9.8847684266413004E-012
R458,  1.9822396577489242E-012
R459,  9.8847684266413004E-012
R460,  1.9822396577489242E-012
R461,  9.8847684266413004E-012
R462,  1.9822396577489242E-012
R463,  9.8847684266413004E-012
R464,  9.8847684266413004E-012
R465,  1.9822396577489239E-013
R466,  9.8847684266413004E-012
R467,  1.9822396577489239E-013
R468,  3.9999999999999999E-012
R469,  3.9999999999999999E-012
R470,  1.2596004570523565E-011
R471,  1.2596004570523565E-011
R472,  1.6906932975785037E-012
R473,  1.0228694450349947E-012
R474,  1.1306400282925920E-011
R475,  6.8604937309957283E-012
R476,  1.1999999999999999E-012
R477,  1.1999999999999999E-012
R478,  1.9559053102412800E-012
R479,  1.1875139383607771E-012
R480,  8.2706853118774122E-013
R481,  4.7999999999999997E-012
R482,  7.2900000000000002E-011
R483,  1.6700000000000000E-016
R484,  7.0858287116171254E-014
R485,  7.0858287116171254E-014
R486,  2.7799999999999998E-004
R487,  2.7799999999999998E-004
R488,  1.4052911820581109E-013
R489,  2.8631242886237609E-014
R490,  1.9558592798948127E-013
R491,  4.1341032079870826E-013
R492,  7.1000000000000000E-013
R493,  1.4089419939559447E-017
R494,  6.2213007716907713E-011
R495,  3.4837805176165384E-011
R496,  8.6747150434300649E-014
R497,  1.8091094516828493E-012
R498,  1.5326225894272620E-011
R499,  7.6023777410687458E-013
R500,  1.4996326733145003E-011
R501,  1.0901369352344913E-012
R502,  7.9589828161302811E-004
R503,  1.1905822971433439E-003
R504,  1.3799210828789915E-003
R505,  1.3661214384034351E-002
R506,  6.5929644560003210E-014
R507,  5.3510154389901204E-012
R508,  2.9028587021281124E-012
R509,  1.1767608447387322E-013
R510,  2.6700333978726949E-013
R511,  1.7714129787188722E-013
R512,  1.9054810566474915E-012
R513,  9.4518943352508597E-014
R514,  1.8644653097526551E-012
R515,  1.3553469024734493E-013
R516,  1.0721658183127594E-012
R517,  7.1788096544898459E-012
R518,  4.5544466031586475E-014
R519,  3.6414404494569332E-013
R520,  9.7312569504538105E-013
R521,  7.1015383326015155E-012
R522,  6.5144748709075012E-014
R523,  5.2085520742391249E-013
R524,  5.2359834523101932E-011
R525,  5.2359834523101932E-011
R526,  8.0623212181266131E-011
R527,  1.2826420119746884E-010
R528,  4.0418513889918600E-011
R529,  3.8583235403213833E-011
R530,  2.6132659842619788E-011
R531,  9.0517879130785157E-012
R532,  5.3560207543316322E-011
R533,  1.5941407863113985E-011
R534,  9.4226291048426867E-011
R535,  1.1873528312653915E-011
R536,  7.9805682101444343E-012
R537,  1.2936360863630429E-010
R538,  1.2936360863630429E-010
R539,  5.4814980828197392E-002
R540,  7.4760668257479456E-012
R541,  1.1845971580319353E-012
R542,  1.8742247764574223E-011
R543,  1.0032175736481409E-001
R544,  7.5722573579628513E-012
R545,  1.0884066258170304E-012
R546,  1.8742247764574223E-011
R547,  6.4640307580421455E-002
R548,  7.8159864990185245E-012
R549,  8.4467748476135742E-013
R550,  1.8742247764574223E-011
R551,  8.4987676748791767E-012
R552,  2.7713372852866875E-012
R553,  1.2199575843922090E-011
R554,  2.1774792955823976E-012
R555,  8.2305503779095421E-012
R556,  6.4640307580421455E-002
R557,  5.8715271190345453E-001
R558,  1.8059331854124149E-011
R559,  8.4664940431420004E-012
R560,  1.9416994063788149E-013
R561,  6.4640307580421455E-002
R562,  5.8715271190345453E-001
R563,  8.5054707600651072E-012
R564,  1.5519322371477636E-013
R565,  1.8059331854124149E-011
R566,  1.8059331854124149E-011
R567,  1.9416994063788149E-013
R568,  8.4664940431420004E-012
R569,  6.4640307580421455E-002
R570,  8.6606639837798827E-012
R571,  1.8059331854124149E-011
R572,  8.6606639837798827E-012
R573,  1.8059331854124149E-011
R574,  2.6165897044283642E-011
R575,  4.9304006769388512E-012
R576,  3.7379852920405202E-011
R577,  5.7772879686927025E-012
R578,  7.9201528956090292E-012
R579,  7.4759705840810403E-011
R580,  4.8645068107224487E-012
R581,  1.0810839815215232E-010
R582,  8.0165269903586997E-012
R583,  8.0165269903586997E-012
R584,  6.4640307580421455E-002
R585,  1.9728681857446547E-011
R586,  8.1868671146851270E-012
R587,  4.7379686909475556E-013
R588,  6.4640307580421455E-002
R589,  1.9728681857446547E-011
R590,  8.2793249550003059E-012
R591,  3.8133902877957715E-013
R592,  4.3300387371204979E-002
R593,  1.7554583797306986E-002
R594,  1.9728681857446547E-011
R595,  8.0368273417298881E-012
R596,  6.2383664204999357E-013
R597,  1.9728681857446547E-011
R598,  7.4533527015853683E-012
R599,  1.2073112821945138E-012
R600,  1.9728681857446547E-011
R601,  7.2316883958052009E-012
R602,  1.4289755879746804E-012
R603,  6.5918848511202759E-013
R604,  1.8742247764574223E-011
R605,  1.8742247764574223E-011
R606,  1.6100000000000000E-012
R607,  2.5600000000000000E-012
R608,  3.7100000000000001E-012
R609,  1.1800000000000000E-012
R610,  2.8000000000000002E-013
R611,  1.9199999999999999E-012
R612,  7.7100000000000001E-012
R613,  2.2999999999999999E-012
R614,  2.2999999999999999E-012
R615,  8.4431306060908634E-012
R616,  2.1753337768901860E-013
R617,  7.0089493046880150E-012
R618,  1.6517146790918679E-012
R619,  9.2058749854880380E-015
R620,  3.4474830709558108E+005
R621,  2.1548385801174766E-011
R622,  5.9001532550835670E-011
R623,  1.0791530751775586E-011
R624,  2.1473341978624740E-011
R625,  7.6288956600930844E-012
R626,  4.4340815567582984E-012
R627,  6.6180321742661158E-012
R628,  8.0165269903586997E-012
R629,  2.2581014114760559E-002
R630,  3.0062052378734671E-002
R631,  2.0032200039868801E-011
R632,  2.0032200039868801E-011
R633,  8.1591745219144451E-012
R634,  5.0148946186543797E-013
R635,  7.9790258412725751E-012
R636,  6.8163814250730790E-013
R637,  1.5176034903199236E-012
R638,  3.4264865177038110E-011
R639,  8.6606639837798827E-012
R640,  1.9273404583813167E-011
R641,  9.9999999999999994E-012
R642,  8.6606639837798827E-012
R643,  2.0563356859107748E-011
R644,  1.9823745671632031E-011
R645,  5.3841760434056380E-018
R646,  1.5596515999777503E-011
R647,  1.2915200820466516E-011
R648,  1.3319999577711613E-018
R649,  3.4216474509498591E-015
R650,  4.3953817817554779E-012
R651,  5.7699999999999998E-011
R652,  1.2915200820466516E-011
R653,  4.9270811908388020E-011
R654,  1.2915200820466516E-011
R655,  8.6606639837798827E-012
R656,  1.4644752301873785E-011
R657,  8.9999999999999996E-012
R658,  8.6606639837798827E-012
R659,  1.4644752301873785E-011
R660,  8.9999999999999996E-012
R661,  9.7957445006783148E-011
R662,  2.3917038556419475E-011
R663,  1.0983904231121676E-011
R664,  2.3917038556419475E-011
R665,  2.5250354554302704E-012
R666,  3.0300425465163248E-011
R667,  1.6086463668379493E-011
R668,  8.3366621408955293E-012
R669,  3.2400184288435336E-013
R670,  1.6086463668379493E-011
R671,  2.1664792001067444E-011
R672,  1.6600000000000000E-011
R673,  6.3330495013116872E-001
R674,  8.1739814156579331E-012
R675,  4.8668256812194885E-013
R676,  2.2852393333528916E-011
R677,  8.6772554909028404E-012
R678,  2.1664792001067444E-011
R679,  1.9700339080628376E-011
R680,  8.6772554909028404E-012
R681,  3.9999999999999999E-012
R682,  1.5329320019925012E-011
R683,  4.7237290516575500E-004
R684,  2.9000000000000000E-011
R685,  4.3300000000000003E-012
R686,  9.9999999999999994E-012
R687,  2.2500000000000000E-011
R688,  3.0000000000000001E-012
R689,  3.0000000000000001E-012
R690,  9.9999999999999994E-012
R691,  3.0000000000000001E-012
R692,  2.8582712050269609E-015
R693,  8.0000000000000002E-013
R694,  6.8717641468629363E-012
R695,  2.1664792001067444E-011
R696,  4.8090204660782350E-012
R697,  2.9099999999999998E-011
R698,  2.3032221224582515E-011
R699,  1.4404655815626732E-011
R700,  8.3398986510472947E-012
R701,  1.1999999999999999E-012
R702,  5.8000000000000000E-011
R703,  1.5000000000000001E-012
R704,  1.6999999999999999E-017
R705,  7.0000000000000001E-012
R706,  1.2000000000000000E-016
R707,  3.9199999999999998E-011
R708,  1.4000000000000001E-015
R709,  8.9539298392653386E-012
R710,  1.1767344781993660E-011
R711,  7.1600000000000003E-011
R712,  1.8860113824133437E-018
R713,  7.5819657945755582E-012
R714,  7.3213635344241578E-013
R715,  1.1609570477651239E-011
R716,  8.9539298392653386E-012
R717,  2.2999999999999999E-012
R718,  5.9999999999999997E-013
R719,  2.0776858787540661E+005
R720,  9.2058749854880380E-015
R721,  8.3999999999999995E-013
R722,  3.5771821934690431E-012
R723,  1.3800000000000000E-011
R724,  1.2094881768979830E-012
R725,  5.5846689283489179E-012
R726,  1.6999999999999999E-011
R727,  1.8106377172399599E-011
R728,  8.7670709209326033E-012
R729,  2.2999999999999999E-012
R730,  3.5369089032044393E-014
R731,  8.7382455255639081E-014
R732,  6.8999999999999994E-011
R733,  8.9539298392653386E-012
R734,  1.5555306849140549E-011
R735,  0.0000000000000000E+000
R736,  1.9700339080628376E-011
R737,  1.3593401159371055E-011
R738,  8.8086764575449470E-012
R739,  4.0922869493403141E-004
R740,  1.0000000000000000E-014
R741,  2.7322636013782308E-011
R742,  3.8000000000000000E-012
R743,  4.6999999999999999E-011
R744,  1.4000000000000000E-011
R745,  1.9999999999999999E-011
R746,  9.2000000000000004E-018
R747,  9.8999999999999994E-011
R748,  1.2481253771358787E-011
R749,  2.3999999999999999E-015
R750,  3.4128532339910054E-011
R751,  1.9700339080628376E-011
R752,  8.8086764575449470E-012
R753,  4.6599999999999999E-012
R754,  4.0922869493403141E-004
R755,  1.0599999999999999E-012
R756,  7.0000000000000001E-012
R757,  9.0031074457269434E-012
R758,  2.2999999999999999E-012
R759,  1.6997018215646257E-011
R760,  3.6000000000000000E-012
R761,  2.8599999999999999E-013
R762,  2.0800000000000000E-012
R763,  3.4700000000000000E-012
R764,  2.5999999999999998E-012
R765,  9.0031074457269438E-013
R766,  9.0031074457269434E-012
R767,  5.0000000000000002E-011
R768,  7.9999999999999998E-016
R769,  1.5000000000000000E-003
R770,  5.0000000000000002E-011
R771,  7.9999999999999998E-016
R772,  1.5000000000000000E-003
R773,  1.4404655815626732E-011
R774,  8.3398986510472947E-012
R775,  1.4404655815626732E-011
R776,  8.3398986510472947E-012
R777,  1.4404655815626732E-011
R778,  8.3398986510472947E-012
R779,  1.1999999999999999E-012
R780,  4.0144066154372295E-011
R781,  4.3510702330348634E-003
R782,  3.2271763430949908E-007
R783,  4.3470257016778149E-005
R784,  2.3347317716650406E-009
R785,  6.9951686735404270E-011
R786,  2.0840070855384896E-022
R787,  0.0000000000000000E+000
R788,  0.0000000000000000E+000
R789,  9.6324298186474458E-014
R790,  7.9406922537887479E-015
R791,  2.0301716468030202E-013
R792,  2.3982879122695385E-014
R793,  1.6497372051148914E-021
R794,  0.0000000000000000E+000
R795,  2.5372729528265305E-021
R796,  0.0000000000000000E+000
R797,  0.0000000000000000E+000
R798,  1.3360372023508862E-011
R799,  1.1054613783801532E-012
R800,  3.1380220909054245E-014
R801,  3.6206591463375006E-013
R802,  1.8060317340318139E-014
R803,  0.0000000000000000E+000
R804,  0.0000000000000000E+000
R805,  9.2481517673790774E-015
R806,  1.0004552648855209E-015
R807,  0.0000000000000000E+000
R808,  0.0000000000000000E+000
R809,  0.0000000000000000E+000
R810,  3.1938156356051592E-014
R811,  3.4635024747688914E-018
R812,  0.0000000000000000E+000
R813,  0.0000000000000000E+000
R814,  0.0000000000000000E+000
R815,  5.5856115476431671E-011
R816,  4.7888743953512525E-014
R817,  2.1995857262650484E-009
R818,  3.6716800019719590E-011
R819,  0.0000000000000000E+000
R820,  0.0000000000000000E+000
R821,  2.9898838678292445E-016
R822,  3.5933350262064899E-017
R823,  1.4011705915968712E-004
R824,  6.8997794208561443E-008
R825,  5.4371702029170211E-004
R826,  1.0271337582767836E-006
R827,  2.0039527032217583E-007
R828,  0.0000000000000000E+000
R829,  0.0000000000000000E+000
R830,  7.6340384523170579E-005
R831,  1.4484739958965123E-007
R832,  3.6946508542692072E-008
R833,  7.4303998503052562E-005
R834,  1.4098619885037769E-007
R835,  3.6008606820829667E-008
R836,  7.2422776205177910E-005
R837,  1.3741909396693161E-007
R838,  3.5140260041773381E-008
R839,  0.0000000000000000E+000
R840,  0.0000000000000000E+000
R841,  0.0000000000000000E+000
R842,  0.0000000000000000E+000
R843,  1.4326887561290688E-021
R844,  3.7370540474808935E-014
R845,  1.0247159728990570E-012
R846,  4.8398220247510959E-014
R847,  6.8161996744514266E-014
R848,  1.7979587006025166E-014
R849,  5.1040753951231287E-013
R850,  2.3285186695746900E-014
R851,  3.3951258657740229E-014
R852,  2.0587639557965044E-014
R853,  5.8209263364809818E-013
R854,  2.6662849962644427E-014
R855,  3.8719603528260680E-014
R856,  0.0000000000000000E+000
R857,  0.0000000000000000E+000
R858,  0.0000000000000000E+000
R859,  0.0000000000000000E+000
R860,  0.0000000000000000E+000
R861,  0.0000000000000000E+000
R862,  0.0000000000000000E+000
R863,  0.0000000000000000E+000
R864,  0.0000000000000000E+000
R865,  0.0000000000000000E+000
R866,  0.0000000000000000E+000
R867,  0.0000000000000000E+000
R868,  0.0000000000000000E+000
R869,  0.0000000000000000E+000
R870,  0.0000000000000000E+000
R871,  0.0000000000000000E+000
R872,  0.0000000000000000E+000
R873,  0.0000000000000000E+000
R874,  0.0000000000000000E+000
R875,  0.0000000000000000E+000
R876,  0.0000000000000000E+000
R877,  0.0000000000000000E+000
R878,  0.0000000000000000E+000
R879,  0.0000000000000000E+000
R880,  0.0000000000000000E+000
R881,  0.0000000000000000E+000
R882,  3.8322076979059556E-004
R883,  1.1380333847301511E-005
R884,  5.4725298241952116E-029
R885,  7.1161846790428213E-003
R886,  4.2697726695368275E-006
R887,  3.4442408127810811E-006
R888,  1.9648126915744416E-005
R889,  3.3271953121221251E-005
R890,  3.0576024419602586E-007
R891,  1.1383091328855341E-003
R892,  6.8365179668491440E-007
R893,  1.2989384137013372E-005
R894,  1.6514526498104978E-001
R895,  2.1248939286500762E-002
R896,  2.7734092057818890E-005
R897,  1.7770211109654984E-006
R898,  0.0000000000000000E+000
R899,  4.0772507921802676E-007
R900,  4.0772507921802676E-007
R901,  1.0733940406114322E-006
R902,  2.5312225320061567E-005
R903,  2.5312225320061567E-005
R904,  1.4462571911385462E-007
R905,  9.8451101518820553E-008
R906,  2.0876468226521725E-006
R907,  5.4238568310395527E-006
R908,  5.6923221712089555E-005
R909,  1.0022996089031400E-005
R910,  1.8775568584702801E-005
R911,  1.4195597538598694E-004
R912,  1.6779499814677873E-006
R913,  5.5931666048926239E-007
R914,  5.5931666048926239E-007
R915,  1.0733940406114322E-006
R916,  1.0869462368837848E-006
R917,  3.4442408127810811E-006
R918,  1.7221204063905405E-006
R919,  3.4442408127810811E-006
R920,  3.4442408127810811E-006
R921,  3.4442408127810811E-006
R922,  3.4442408127810811E-006
R923,  3.4442408127810811E-006
R924,  3.4442408127810811E-006
R925,  3.4442408127810811E-006
R926,  4.4347803663920883E-007
R927,  4.4347803663920883E-007
R928,  4.4347803663920883E-007
R929,  4.4347803663920883E-007
R930,  3.4442408127810811E-006
R931,  2.9234409221587255E-002
R932,  2.5922819190384826E-002
R933,  1.7216399911081973E-003
R934,  8.9320383603154539E-004
R935,  1.5762420635850801E-004
R936,  5.3588684746356582E-003
R937,  5.6018163275707881E-007
R938,  4.4973850974114957E-010
R939,  2.5849436116558229E-015
R940,  9.4644010160981284E-027
R941,  6.7050783383756763E-026
R942,  8.8144728395127860E-003
R943,  1.6820489113685399E-003
R944,  7.7383786642585531E-005
R945,  6.2689542754865241E-002
R946,  1.2706853584232780E-003
R947,  2.4875690421137563E-004
R948,  2.8593412700417496E-005
R949,  4.6727449575535357E-006
R950,  1.8711305876976435E-004
R951,  1.1769934568975996E-024
R952,  2.5734168708241384E-024
R953,  6.6346010010378818E-025
R954,  3.6300853831975082E-026
R955,  8.0404154442937517E-026
R956,  4.9159387130141279E-027
R957,  3.5364196044529285E-028
R958,  8.4538284563293296E-026
R959,  9.7947222498101305E-026
R960,  7.4445420374080566E-028
R961,  1.8709598929542110E-028
R962,  5.3191863196713180E-013
R963,  1.8990432609377930E-009
R964,  1.2455692182038016E-009
R965,  4.5556580988370743E-001
R966,  1.7570667336209889E-001
R967,  7.2386675359081207E-003
R968,  1.7731358167372585E-001
R969,  2.0475658287250403E-001
R970,  2.8654100154904855E-002
R971,  2.1154315740864078E-003
R972,  7.1300877433639800E-003
R973,  3.3632260618215060E-002
R974,  3.3817007695553062E-006
R975,  5.2605281214814816E-003
R976,  8.6223202143698716E-005
R977,  3.0267169780197963E-004
R978,  3.3632260618215060E-002
R979,  3.0294246387816852E-002
